variable,dataset,type,original_var,data_type,missing_pct,unique_n,mean,sd,meaning
USUBJID,,ID,USUBJID,categorical,0,1298,,,Variável identificadora: USUBJID
AVISIT,,ID,AVISIT,categorical,0,72,,,Variável identificadora: AVISIT
AVISITN,,ID,AVISITN,numeric,0,72,8343.513584,17105.11118,Variável identificadora: AVISITN
STC_adae.sas7bdat_STUDYID,adae.sas7bdat,STC,STUDYID,categorical,0,2,,,Característica estática do paciente: STUDYID (dataset ADAE.SAS7BDAT )
AVAL_adae.sas7bdat_AESTDTC,adae.sas7bdat,AVAL,AESTDTC,categorical,0,1073,,,Valor longitudinal de AESTDTC no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AESTDT,adae.sas7bdat,AVAL,AESTDT,categorical,0,780,,,Valor longitudinal de AESTDT no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ASTDT,adae.sas7bdat,AVAL,ASTDT,categorical,0,784,,,Valor longitudinal de ASTDT no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ASTDTF,adae.sas7bdat,AVAL,ASTDTF,categorical,0,3,,,Valor longitudinal de ASTDTF no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ASTTM,adae.sas7bdat,AVAL,ASTTM,numeric,94.39790749,199,10817.51773,19648.30747,Valor longitudinal de ASTTM no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AEENDTC,adae.sas7bdat,AVAL,AEENDTC,categorical,0,885,,,Valor longitudinal de AEENDTC no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AEENDT,adae.sas7bdat,AVAL,AEENDT,categorical,0,722,,,Valor longitudinal de AEENDT no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AENDT,adae.sas7bdat,AVAL,AENDT,categorical,0,731,,,Valor longitudinal de AENDT no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AENDTF,adae.sas7bdat,AVAL,AENDTF,categorical,0,3,,,Valor longitudinal de AENDTF no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ASTDY,adae.sas7bdat,AVAL,ASTDY,numeric,94.07674734,385,139.0257127,112.4368299,Valor longitudinal de ASTDY no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AENDY,adae.sas7bdat,AVAL,AENDY,numeric,95.07664802,432,182.536651,131.5181511,Valor longitudinal de AENDY no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ADURN,adae.sas7bdat,AVAL,ADURN,numeric,95.38456445,194,40.31635581,83.5725179,Valor longitudinal de ADURN no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_ADURU,adae.sas7bdat,AVAL,ADURU,categorical,0,2,,,Valor longitudinal de ADURU no dataset ADAE.SAS7BDAT
STC_adae.sas7bdat_TRT01P,adae.sas7bdat,STC,TRT01P,categorical,0,5,,,Característica estática do paciente: TRT01P (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT01PN,adae.sas7bdat,STC,TRT01PN,numeric,23.04075754,5,2.294269489,1.030348684,Característica estática do paciente: TRT01PN (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT01A,adae.sas7bdat,STC,TRT01A,categorical,0,5,,,Característica estática do paciente: TRT01A (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT01AN,adae.sas7bdat,STC,TRT01AN,numeric,23.04075754,5,2.294269489,1.030348684,Característica estática do paciente: TRT01AN (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT02P,adae.sas7bdat,STC,TRT02P,categorical,0,6,,,Característica estática do paciente: TRT02P (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT02PN,adae.sas7bdat,STC,TRT02PN,numeric,24.49756647,6,2.373048588,1.196800901,Característica estática do paciente: TRT02PN (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT02A,adae.sas7bdat,STC,TRT02A,categorical,0,6,,,Característica estática do paciente: TRT02A (dataset ADAE.SAS7BDAT )
STC_adae.sas7bdat_TRT02AN,adae.sas7bdat,STC,TRT02AN,numeric,24.67635665,6,2.366813187,1.191349097,Característica estática do paciente: TRT02AN (dataset ADAE.SAS7BDAT )
AVAL_adae.sas7bdat_DOSENUM,adae.sas7bdat,AVAL,DOSENUM,numeric,94.59987418,13,5.800735745,3.437812038,Valor longitudinal de DOSENUM no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_DOSEON,adae.sas7bdat,AVAL,DOSEON,numeric,94.59987418,10,110.1508277,101.1654749,Valor longitudinal de DOSEON no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_DOSEU,adae.sas7bdat,AVAL,DOSEU,categorical,0,2,,,Valor longitudinal de DOSEU no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_STAGAEON,adae.sas7bdat,AVAL,STAGAEON,categorical,0,4,,,Valor longitudinal de STAGAEON no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_DOSEDY,adae.sas7bdat,AVAL,DOSEDY,numeric,94.59987418,192,137.289393,97.37159677,Valor longitudinal de DOSEDY no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AETERM,adae.sas7bdat,AVAL,AETERM,categorical,0,1039,,,Valor longitudinal de AETERM no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AEDECOD,adae.sas7bdat,AVAL,AEDECOD,categorical,0,479,,,Valor longitudinal de AEDECOD no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AEBODSYS,adae.sas7bdat,AVAL,AEBODSYS,categorical,0,26,,,Valor longitudinal de AEBODSYS no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AEBDSYCD,adae.sas7bdat,AVAL,AEBDSYCD,numeric,94.07674734,26,10023025.46,8189.203972,Valor longitudinal de AEBDSYCD no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AELLT,adae.sas7bdat,AVAL,AELLT,categorical,0,706,,,Valor longitudinal de AELLT no dataset ADAE.SAS7BDAT
AVAL_adae.sas7bdat_AELLTCD,adae.sas7bdat,AVAL,AELLTCD,numeric,94.07674734,706,10031314.54,23509.94796,Valor longitudinal de AELLTCD no dataset ADAE.SAS7BDAT
