file,domain,column_name,matched_value
lb.csv,LB,LBTEST,CD4+CD45RO+CD27+B7-INTEGRIN+ MESF
lb.csv,LB,LBTEST,CD4+CD45RO+CD27+B7-INTEGRIN- MESF
lb.csv,LB,LBTEST,CD4+CD45RO-CD27+B7-INTEGRIN+ MESF
lb.csv,LB,LBTEST,CD4+CD45RO-CD27+B7+INTEGRIN- MESF
lb.csv,LB,LBTEST,CD4+CD45RO+CD27-B7-INTEGRIN+ MESF
lb.csv,LB,LBTEST,CD4+CD45RO+CD27-B7+INTEGRIN- MESF
lb.csv,LB,LBTEST,CD4+B7-INTEGRIN+ MESF
lb.csv,LB,LBTEST,CD4+B7-INTEGRIN- MESF
lb.csv,LB,LBTEST,CD4+CD45RO-CD27+B7-INTEGRIN+ TOTAL MESF
lb.csv,LB,LBTEST,CD4+CD45RO+CD27+B7-INTEGRIN+ TOTAL MESF
lb.csv,LB,LBTEST,CD4+CD45RO+CD27-B7-INTEGRIN+ TOTAL MESF
lb.csv,LB,LBTEST,CD4+B7-INTEGRIN+ TOTAL MESF
mo.csv,MO,MOCAT,ENDOSCOPY EVALUATION 1
mo.csv,MO,MOCAT,ENDOSCOPY EVALUATION 2
mo.csv,MO,MOCAT,ENDOSCOPY OUTCOME
qsai.csv,QSAI,QSTEST,CDAI01-TREATMENT FAILURE ENDOSCOPY
